nama_ikan,ds,y
Japuh,2020-01-02,735
Japuh,2020-01-03,553
Japuh,2020-01-04,598
Japuh,2020-01-05,603
Japuh,2020-01-06,785
Japuh,2020-01-07,732
Japuh,2020-01-08,783
Japuh,2020-01-09,852
Japuh,2020-01-10,798
Japuh,2020-01-11,620
Japuh,2020-01-12,685
Japuh,2021-01-01,306
Japuh,2021-01-02,278
Japuh,2021-01-03,249
Japuh,2021-01-04,250
Japuh,2021-01-05,221
Japuh,2021-01-06,232
Japuh,2021-01-07,233
Japuh,2021-01-08,214
Japuh,2021-01-09,205
Japuh,2021-01-10,226
Japuh,2021-01-11,227
Japuh,2021-01-12,228
Jenaha,2019-01-01,630
Jenaha,2019-01-03,1540
Jenaha,2019-01-05,352
Jenaha,2019-01-06,288
Jenaha,2019-01-07,870
Jenaha,2019-01-08,600
Jenaha,2019-01-09,270
Jenaha,2019-01-10,330
Jenaha,2019-01-11,0
Jenaha,2019-01-12,495
Jenaha,2020-01-01,239
Jenaha,2020-01-02,253
Jenaha,2020-01-03,242
Jenaha,2020-01-04,215
Jenaha,2020-01-05,245
Jenaha,2020-01-06,180
Jenaha,2020-01-07,213
Jenaha,2020-01-08,373
Jenaha,2020-01-09,231
Jenaha,2020-01-10,210
Jenaha,2020-01-11,189
Jenaha,2020-01-12,273
Jenaha,2021-01-02,1250
Jenaha,2021-01-03,1750
Jenaha,2021-01-04,1125
Jenaha,2021-01-05,700
Jenaha,2021-01-06,250
Jenaha,2021-01-07,1000
Jenaha,2021-01-08,750
Jenaha,2021-01-09,650
Jenaha,2021-01-10,675
Jenaha,2021-01-11,925
Jenaha,2021-01-12,425
Kakap,2022-01-01,975
Kakap,2022-01-02,544
Kakap,2022-01-03,689
Kakap,2022-01-04,2171
Kakap,2022-01-05,986
Kakap,2022-01-06,1587
Kakap,2022-01-09,1598
Kakap,2022-01-12,1625
Kakap,2023-01-01,498
Kakap,2023-01-02,516
Kakap,2023-01-03,4399
Kakap,2023-01-04,4814
Kakap,2023-01-05,1032
Kakap,2023-01-06,1566
Kakap,2023-01-07,546
Kakap,2023-01-09,702
Kakap,2023-01-11,1176
Kakap,2024-01-01,1369
Kakap,2024-01-02,2448
Kakap,2024-01-03,1880
Kakap,2024-01-04,1156
Kakap,2024-01-05,1285
Kakap,2024-01-06,1043
Kakap,2024-01-07,803
Kakap,2024-01-08,1363
Kakap,2024-01-09,1379
Kakap,2024-01-10,1275
Kakap,2024-01-11,1246
Kakap,2024-01-12,1143
Kakap Batu,2022-01-01,2340
Kakap Batu,2022-01-02,1156
Kakap Batu,2022-01-03,1170
Kakap Batu,2022-01-04,1365
Kakap Batu,2022-01-06,3765
Kakap Batu,2022-01-08,4425
Kakap Batu,2022-01-10,1225
Kakap Batu,2022-01-11,2744
Kakap Batu,2022-01-12,735
Kakap Batu,2023-01-01,1079
Kakap Batu,2023-01-02,258
Kakap Batu,2023-01-03,1411
Kakap Batu,2023-01-04,581
Kakap Batu,2023-01-05,1854
Kakap Batu,2023-01-07,4071
Kakap Batu,2023-01-08,5487
Kakap Batu,2023-01-10,592
Kakap Batu,2023-01-11,296
Kakap Batu,2024-01-01,1776
Kakap Batu,2024-01-02,3465
Kakap Batu,2024-01-03,2442
Kakap Batu,2024-01-04,2066
Kakap Batu,2024-01-05,2801
Kakap Batu,2024-01-06,1243
Kakap Batu,2024-01-07,1576
Kakap Batu,2024-01-08,2510
Kakap Batu,2024-01-09,2041
Kakap Batu,2024-01-10,1223
Kakap Batu,2024-01-11,1195
Kakap Batu,2024-01-12,1199
Kakap Jenaha,2022-01-01,1365
Kakap Jenaha,2022-01-02,9248
Kakap Jenaha,2022-01-03,1144
Kakap Jenaha,2022-01-04,1365
Kakap Jenaha,2022-01-05,1088
Kakap Jenaha,2022-01-06,621
Kakap Jenaha,2022-01-07,9198
Kakap Jenaha,2022-01-08,372
Kakap Jenaha,2022-01-09,705
Kakap Jenaha,2022-01-10,7670
Kakap Jenaha,2022-01-11,7189
Kakap Jenaha,2022-01-12,1235
Kakap Jenaha,2023-01-01,4399
Kakap Jenaha,2023-01-02,215
Kakap Jenaha,2023-01-03,747
Kakap Jenaha,2023-01-04,8798
Kakap Jenaha,2023-01-05,731
Kakap Jenaha,2023-01-06,15138
Kakap Jenaha,2023-01-07,924
Kakap Jenaha,2023-01-08,11928
Kakap Jenaha,2023-01-09,7345
Kakap Jenaha,2023-01-11,11536
Kakap Jenaha,2024-01-01,2205
Kakap Jenaha,2024-01-02,1324
Kakap Jenaha,2024-01-03,1791
Kakap Jenaha,2024-01-04,1690
Kakap Jenaha,2024-01-05,2176
Kakap Jenaha,2024-01-06,1883
Kakap Jenaha,2024-01-07,1611
